Poniedzialek,Wtorek,Sroda,Czwartek,Piatek
[5.466],[4.653],[4.671],[4.863],[7.116]
Matematyka,Matematyka,Angielski,Matematyka,Matematyka
Polski,Polski,Polski,Angielski,Angielski
WF,WF,WF,Polski,Polski
Przyroda,Religia,Religia,Muzyka,Przyroda
Plastyka,,,,Technika
,,,,Informatyka
,,,,Historia
,,,,
,,,,
